PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Out Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration Out,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
78,439138.2836,189120.9151,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,439341.7009,190015.0863,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,439283.391,190898.2493,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,439771.466,191700.6309,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,440751.0496,191552.5997,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,441633.552,191828.0549,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,442395.0225,192453.709,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,443037.925,193181.7428,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,443956.9236,193351.4691,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,444898.1016,193604.3438,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,445748.0954,193896.5907,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,446500.8391,194109.1128,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,447104.1198,194776.4255,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,447645.3041,195564.4018,1,0,0,0,1,0,random,classvars_natal.csv,0,0,0,0,0,0,1,N,1,0,0,10.5,0,150,0,1,0,210,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
